FREQ,AMPLITUDE,PHASE
1.0000,0.900847E-005,-0.510202E-001
2.0000,0.902221E-005,-0.102208     
3.0000,0.904519E-005,-0.153733     
4.0000,0.907758E-005,-0.205768     
5.0000,0.911959E-005,-0.258494     
6.0000,0.917149E-005,-0.312097     
7.0000,0.923365E-005,-0.366776     
8.0000,0.930649E-005,-0.422742     
9.0000,0.939054E-005,-0.480224     
10.000,0.948639E-005,-0.539470     
11.000,0.959479E-005,-0.600751     
12.000,0.971657E-005,-0.664368     
13.000,0.985272E-005,-0.730657     
14.000,0.100044E-004,-0.799993     
15.000,0.101729E-004,-0.872803     
16.000,0.103599E-004,-0.949573     
17.000,0.105671E-004,-1.03086     
18.000,0.107967E-004,-1.11731     
19.000,0.110513E-004,-1.20967     
20.000,0.113338E-004,-1.30883     
21.000,0.116479E-004,-1.41583     
22.000,0.119978E-004,-1.53192     
23.000,0.123887E-004,-1.65861     
24.000,0.128269E-004,-1.79773     
25.000,0.133204E-004,-1.95152     
26.000,0.138786E-004,-2.12280     
27.000,0.145139E-004,-2.31509     
28.000,0.152419E-004,-2.53291     
29.000,0.160827E-004,-2.78212     
30.000,0.170630E-004,-3.07047     
31.000,0.182186E-004,-3.40845     
32.000,0.195993E-004,-3.81054     
33.000,0.212751E-004,-4.29735     
34.000,0.233492E-004,-4.89924     
35.000,0.259788E-004,-5.66276     
36.000,0.294161E-004,-6.66298     
37.000,0.340916E-004,-8.02913     
38.000,0.408012E-004,-10.0031     
39.000,0.511824E-004,-13.0934     
40.000,0.691197E-004,-18.5598     
41.000,0.105461E-003,-30.3804     
42.000,0.180156E-003,-64.2548     
43.000,0.157591E-003,-124.651     
44.000,0.884852E-004,-151.114     
45.000,0.573475E-004,-160.847     
46.000,0.414512E-004,-165.575     
47.000,0.320014E-004,-168.310     
48.000,0.257745E-004,-170.068     
49.000,0.213693E-004,-171.273     
50.000,0.180880E-004,-172.131     
51.000,0.155465E-004,-172.756     
52.000,0.135163E-004,-173.211     
53.000,0.118533E-004,-173.534     
54.000,0.104620E-004,-173.748     
55.000,0.927639E-005,-173.866     
56.000,0.824958E-005,-173.891     
57.000,0.734696E-005,-173.819     
58.000,0.654238E-005,-173.642     
59.000,0.581551E-005,-173.338     
60.000,0.515012E-005,-172.873     
61.000,0.453291E-005,-172.192     
62.000,0.395266E-005,-171.204     
63.000,0.339980E-005,-169.752     
64.000,0.286622E-005,-167.547     
65.000,0.234605E-005,-164.021     
66.000,0.183893E-005,-157.913     
67.000,0.136293E-005,-146.087     
68.000,0.100625E-005,-121.117     
69.000,0.102043E-005,-81.4768     
70.000,0.153089E-005,-53.3770     
71.000,0.239316E-005,-40.8599     
72.000,0.359022E-005,-35.9724     
73.000,0.526017E-005,-35.3840     
74.000,0.771922E-005,-38.5457     
75.000,0.115749E-004,-46.9240     
76.000,0.174760E-004,-64.8821      
77.000,0.224588E-004,-96.7692     
78.000,0.200437E-004,-128.694     
79.000,0.153937E-004,-147.188     
80.000,0.120677E-004,-156.880     
81.000,0.987009E-005,-162.386     
82.000,0.835238E-005,-165.795     
83.000,0.724561E-005,-168.046     
84.000,0.639974E-005,-169.602     
85.000,0.572810E-005,-170.710     
86.000,0.517799E-005,-171.512     
87.000,0.471585E-005,-172.095     
88.000,0.431932E-005,-172.511     
89.000,0.397299E-005,-172.796     
90.000,0.366585E-005,-172.973     
91.000,0.338985E-005,-173.054     
92.000,0.313894E-005,-173.049     
93.000,0.290849E-005,-172.959     
94.000,0.269484E-005,-172.785     
95.000,0.249509E-005,-172.521       
96.000,0.230690E-005,-172.157     
97.000,0.212834E-005,-171.679     
98.000,0.195779E-005,-171.065     
99.000,0.179392E-005,-170.285     
100.00,0.163561E-005,-169.298     
101.00,0.148194E-005,-168.040     
102.00,0.133222E-005,-166.422     
103.00,0.118602E-005,-164.310     
104.00,0.104328E-005,-161.495     
105.00,0.904568E-006,-157.645     
106.00,0.771609E-006,-152.213     
107.00,0.648383E-006,-144.296     
108.00,0.543323E-006,-132.525     
109.00,0.472425E-006,-115.544     
110.00,0.457739E-006,-94.3570     
111.00,0.511398E-006,-74.0120     
112.00,0.623830E-006,-58.6424     
113.00,0.778340E-006,-48.2613     
114.00,0.963996E-006,-41.3779      
115.00,0.117614E-005,-36.7537     
116.00,0.141404E-005,-33.6089     
117.00,0.167945E-005,-31.4780     
118.00,0.197593E-005,-30.0828     
119.00,0.230874E-005,-29.2563     
120.00,0.268502E-005,-28.9008     
121.00,0.311425E-005,-28.9652     
122.00,0.360889E-005,-29.4334     
123.00,0.418546E-005,-30.3200     
124.00,0.486597E-005,-31.6717     
125.00,0.567993E-005,-33.5730     
126.00,0.666669E-005,-36.1594     
127.00,0.787770E-005,-39.6377     
128.00,0.937538E-005,-44.3168     
129.00,0.112199E-004,-50.6431     
130.00,0.134189E-004,-59.2047     
131.00,0.157999E-004,-70.5893     
132.00,0.178314E-004,-84.8715     
133.00,0.187353E-004,-100.838       
134.00,0.181960E-004,-116.150     
135.00,0.167103E-004,-128.964     
136.00,0.149592E-004,-138.862     
137.00,0.133260E-004,-146.298     
138.00,0.119300E-004,-151.899     
139.00,0.107718E-004,-156.184     
140.00,0.981617E-005,-159.529     
141.00,0.902389E-005,-162.191     
142.00,0.836123E-005,-164.351     
143.00,0.780137E-005,-166.132     
144.00,0.732356E-005,-167.623     
145.00,0.691183E-005,-168.889     
146.00,0.655390E-005,-169.975     
147.00,0.624021E-005,-170.918     
148.00,0.596328E-005,-171.745     
149.00,0.571718E-005,-172.476     
150.00,0.549718E-005,-173.127     
151.00,0.529946E-005,-173.713     
152.00,0.512090E-005,-174.242      
153.00,0.495894E-005,-174.724     
154.00,0.481147E-005,-175.166     
155.00,0.467671E-005,-175.573     
156.00,0.455319E-005,-175.950     
157.00,0.443964E-005,-176.301     
158.00,0.433500E-005,-176.629     
159.00,0.423835E-005,-176.938     
160.00,0.414890E-005,-177.229     
161.00,0.406598E-005,-177.506     
162.00,0.398898E-005,-177.770     
163.00,0.391740E-005,-178.022     
164.00,0.385079E-005,-178.264     
165.00,0.378874E-005,-178.498     
166.00,0.373092E-005,-178.724     
167.00,0.367701E-005,-178.944     
168.00,0.362674E-005,-179.158     
169.00,0.357988E-005,-179.368     
170.00,0.353619E-005,-179.574     
171.00,0.349551E-005,-179.777      
172.00,0.345765E-005,-179.977     
173.00,0.342246E-005,179.824     
174.00,0.338982E-005,179.627     
175.00,0.335960E-005,179.430     
176.00,0.333170E-005,179.233     
177.00,0.330603E-005,179.035     
178.00,0.328250E-005,178.837     
179.00,0.326105E-005,178.636     
180.00,0.324161E-005,178.434     
181.00,0.322413E-005,178.228     
182.00,0.320858E-005,178.020     
183.00,0.319490E-005,177.807     
184.00,0.318309E-005,177.590     
185.00,0.317311E-005,177.368     
186.00,0.316496E-005,177.139     
187.00,0.315862E-005,176.905     
188.00,0.315411E-005,176.662     
189.00,0.315143E-005,176.412     
190.00,0.315060E-005,176.153       
191.00,0.315164E-005,175.884     
192.00,0.315459E-005,175.604     
193.00,0.315948E-005,175.312     
194.00,0.316637E-005,175.007     
195.00,0.317531E-005,174.687     
196.00,0.318637E-005,174.351     
197.00,0.319963E-005,173.998     
198.00,0.321518E-005,173.624     
199.00,0.323311E-005,173.229     
200.00,0.325353E-005,172.810     
